effective_id	display_name	match_tier	source	donor_cid	real_prog_count	prog_fp	sample_titles
## ENTERTAINMENT ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ ##	Entertainment HD/RAW 60fps	dummy			0		
## NOW TV ENTERTAINMENT ᴴᴰ/ᴿᴬᵂ ##	Now TV Entertainment HD/RAW	dummy			0		
## NOW TV SPORT ᴴᴰ/ᴿᴬᵂ ##	Now TV Sport HD/RAW	dummy			0		
## SPECTRUM NETWORK ᴿᴬᵂ ⁶⁰ᶠᵖˢ ##	Spectrum Network RAW 60fps	dummy			0		
### DIREC TV ᴿᴬᵂ ⁶⁰ᶠᵖˢ ###	Direc TV RAW 60fps	norm-name	provider_3	d3820a93-e2a6-43f5-955f-9fdcd7ff0724	28	cd75d1954d	FIFA World Cup Today | FIFA World Cup 2026 | ### DIREC TV ᴿᴬᵂ ⁶⁰ᶠᵖˢ ###
### DIREC TV ᶜᶦᵗʸ ᴿᴬᵂ ⁶⁰ᶠᵖˢ ###	Direc TV City RAW 60fps	norm-name	provider_3	d3820a93-e2a6-43f5-955f-9fdcd7ff0724	28	62f899d166	FIFA World Cup Today | FIFA World Cup 2026 | ### DIREC TV ᶜᶦᵗʸ ᴿᴬᵂ ⁶⁰ᶠᵖˢ ###
### LA LIGA TEAM PPV ###	La Liga Team PPV	dummy			0		
### MATCHROOM PPV ###	Matchroom PPV	dummy			0		
### NBA ATT LIVE EVENTS ###	NBA Att Live Events	dummy			0		
### NBA SLING LIVE EVENTS ###	NBA Sling Live Events	dummy			0		
### SA beIN SP⚽RTS RAW ###	SA beIN Sports RAW	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
### SA beIN SP⚽RTS ᴴᴰ ###	SA beIN Sports HD	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
### SERIE A TEAM PPV ###	Serie A Team PPV	dummy			0		
### UEFA CHAMPIONS LEAGUE ⚽ ###	UEFA Champions League	dummy			0		
### UK CINEMA HEVC/4K ###	UK Cinema HEVC/4K	dummy			0		
### UK CINEMA HEVC/HD ###	UK Cinema HEVC/HD	dummy			0		
### UK DOCUMENTARY HEVC/4K ###	UK Documentary HEVC/4K	dummy			0		
### UK DOCUMENTARY HEVC/HD ###	UK Documentary HEVC/HD	dummy			0		
### UK GENERAL HEVC/4K ###	UK General HEVC/4K	dummy			0		
### UK GENERAL HEVC/HD ###	UK General HEVC/HD	dummy			0		
### UK NEWS HEVC/4K ###	UK News HEVC/4K	dummy			0		
### UK NEWS HEVC/HD ###	UK News HEVC/HD	dummy			0		
### UK SPORT HEVC/4K ###	UK Sport HEVC/4K	dummy			0		
### UK SPORT HEVC/HD ###	UK Sport HEVC/HD	dummy			0		
### beIN SP⚽RTS 4K 3840P ###	beIN Sports 4K 3840p	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
### beIN SP⚽RTS ᴿᴬᵂ ###	beIN Sports RAW	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
#### AMAZON PPV ####	Amazon PPV	dummy			0		
#### APPLE TV F1 PPV ####	Apple TV F1 PPV	dummy			0		
#### BBC IPLAYER ᴿᴬᵂ ####	BBC iPlayer RAW	dummy			0		
#### DAZN MENA PPV #####	DAZN MENA PPV	dummy			0		
#### DISCOVERY+ #####	Discovery+	norm-name	provider_3	4d2c2d58-cb18-44fe-8f9b-96637b1aac60	113	de373c7f0b	Expedition Unknown | Mysteries of the Abandoned | Gold Rush
#### DISCOVERY+ HD/4K ####	Discovery+ HD/4K	norm-name	provider_3	4d2c2d58-cb18-44fe-8f9b-96637b1aac60	113	de373c7f0b	Expedition Unknown | Mysteries of the Abandoned | Gold Rush
#### DOCUMENTARY HD/4K ####	Documentary HD/4K	norm-name	provider_3	d2d0ba03-cbf0-40ec-a604-010a95390a9e	119	114a920049	A Man With Sole: The Impact Of Kenneth Cole | Metanoia | Maestra
#### GENERAL HD/4K ####	General HD/4K	dummy			0		
#### SKY CINEMA HD/4K ####	Sky Cinema HD/4K	dummy			0		
#### THMANYAH ᴿᴬᵂ ####	Thmanyah RAW	dummy			0		
#### WORLD OF COOKING 4K ####	World Of Cooking 4K	dummy			0		
##### ABC ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	ABC HD/RAW 60fps	dummy			0		
##### ACTORS 4K #####	Actors 4K	dummy			0		
##### AFRICA ᴿᴬᵂ #####	Africa RAW	dummy			0		
##### ALWAN SPORT #####	Alwan Sport	dummy			0		
##### CBS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	CBS HD/RAW 60fps	dummy			0		
##### CW ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	CW HD/RAW 60fps	dummy			0		
##### EFL IFOLLOW REPLAY ᴿᴬᵂ #####	Efl Ifollow Replay RAW	dummy			0		
##### EFL-L1 REPLAYS ᴿᴬᵂ #####	Efl-L1 Replays RAW	dummy			0		
##### EFL-L2 REPLAYS ᴿᴬᵂ #####	Efl-L2 Replays RAW	dummy			0		
##### FORMULA 1 #####	Formula 1	dummy			0		
##### FOX ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	FOX HD/RAW 60fps	dummy			0		
##### LALIGA REPLAY ᴿᴬᵂ #####	Laliga Replay RAW	dummy			0		
##### LIGUE 1 PPV #####	Ligue 1 PPV	dummy			0		
##### LIVE FOOTBALL PPV #####	Live Football PPV	dummy			0		
##### NATIONAL LEAGUE REPLAY ᴿᴬᵂ #####	National League Replay RAW	dummy			0		
##### NBA PASS PPV ⁸ᴷ #####	NBA Pass PPV 8K	dummy			0		
##### NCAAF #####	NCAAF	dummy			0		
##### NETHERLAND ᴿᴬᵂ #####	Netherland RAW	dummy			0		
##### NEW ZEALAND ᴿᴬᵂ #####	New Zealand RAW	dummy			0		
##### NEWS ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #####	News HD/RAW 60fps	dummy			0		
##### NFL LIVE EVENTS #####	NFL Live Events	dummy			0		
##### OSN PLATINUM ᴿᴬᵂ #####	OSN Platinum RAW	dummy			0		
##### SERIEA REPLAY ᴿᴬᵂ #####	Seriea Replay RAW	dummy			0		
##### SINGAPORE ᴿᴬᵂ #####	Singapore RAW	dummy			0		
##### SPFL REPLAY ᴿᴬᵂ #####	SPFL Replay RAW	dummy			0		
##### SPORTS PPV ᴺᴹ #####	Sports PPV NM	dummy			0		
##### SPORTS ᴿᴬᵂ #####	Sports RAW	dummy			0		
##### TENNIS PPV #####	Tennis PPV	dummy			0		
##### THMANYAH ᴴᴰ #####	Thmanyah HD	dummy			0		
##### UNITED KINGDOM ᴿᴬᵂ #####	United Kingdom RAW	dummy			0		
##### beIN SP⚽RTS 4K ◉ #####	beIN Sports 4K	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
##### beIN SP⚽RTS MAX FM #####	beIN Sports MAX FM	dummy			0		
##### beIN SP⚽RTS MAX ᴺᴹ #####	beIN Sports MAX NM	dummy			0		
##### beIN SP⚽RTS MAX ⁸ᴷ #####	beIN Sports MAX 8K	dummy			0		
##### beIN SP⚽RTS ʰᵉᵛᶜ #####	beIN Sports HEVC	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
##### beIN SP⚽RTS ᴴᴰ #####	beIN Sports HD	bein-override	bein-epg	beINSports.qa@MENA	55	dd116771fe	Poitiers vs Paris  -  Playoffs SF Leg 2 | Poitiers vs Montpellier  -  Finals 1st leg | Al Duhail vs Al Arabi  -  Amir Cup 2025/2026
###### BAHRAIN TV ######	Bahrain TV	norm-name	provider_4	BahrainTV.bh@SD	273	1a57b95913	Life Style | Rehlat Al Ghena' Al Bahraini | Raweat alkhulq
###### DOCUMENTARY TV ######	Documentary TV	dummy			0		
###### MBC 4K TV ######	MBC 4K TV	dummy			0		
###### MLB -1 PPV ######	MLB -1 PPV	dummy			0		
###### NHL HD/4K ######	NHL HD/4K	dummy			0		
###### PPV EVENT ⁽ᴮᴷ⁾ ######	PPV Event	dummy			0		
###### PPV HD/4K ######	PPV HD/4K	dummy			0		
###### ROTANA & ART TV ######	Rotana & ART TV	dummy			0		
###### SHAHID. VIP ######	Shahid. VIP	dummy			0		
###### SPORT 4K ######	Sport 4K	dummy			0		
###### SPORT ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ ######	Sport HD/RAW 60fps	dummy			0		
###### THE MASTERS PPV ######	The Masters PPV	dummy			0		
###### UFC PPV #######	UFC PPV	dummy			0		
####### DAZN PPV MA #######	DAZN PPV Ma	dummy			0		
####### DAZN PPV US #######	DAZN PPV Us	dummy			0		
####### ESPN+ PPV ⱽᴵᴾ #######	ESPN+ PPV VIP	dummy			0		
####### FIFA+ PPV #######	Fifa+ PPV	dummy			0		
####### GOBX #######	GOBX	dummy			0		
####### GOLF PPV #######	Golf PPV	dummy			0		
####### ITV X VIP #######	ITV X VIP	dummy			0		
####### NBC ᴴᴰ/ᴿᴬᵂ ⁶⁰ᶠᵖˢ #######	NBC HD/RAW 60fps	dummy			0		
####### NCAAB PPV #######	NCAAB PPV	dummy			0		
####### NETFLIX PPV #######	Netflix PPV	dummy			0		
####### NEWS #######	News	dummy			0		
